iter	Passed	Remaining
403	5369	7920
404	5377	7900
405	5383	7876
406	5390	7853
407	5396	7830
408	5404	7809
409	5410	7785
410	5417	7764
411	5428	7747
412	5435	7724
413	5447	7710
414	5468	7708
415	5477	7689
416	5485	7669
417	5496	7652
418	5514	7646
419	5532	7640
420	5543	7624
421	5552	7605
422	5568	7595
423	5577	7577
424	5585	7556
425	5593	7536
426	5601	7516
427	5608	7495
428	5617	7476
429	5629	7462
430	5637	7442
431	5644	7421
432	5652	7402
433	5662	7384
434	5669	7363
435	5675	7341
436	5683	7322
437	5689	7300
438	5695	7278
439	5703	7258
440	5710	7238
441	5735	7241
442	5755	7236
443	5763	7217
444	5770	7196
445	5776	7174
446	5785	7157
447	5792	7136
448	5799	7116
449	5806	7096
450	5813	7077
451	5821	7057
452	5827	7036
453	5834	7016
454	5842	6998
455	5851	6980
456	5859	6962
457	5868	6944
458	5874	6923
459	5880	6903
460	5887	6883
461	5894	6864
462	5903	6847
463	5920	6839
464	5930	6823
465	5937	6804
466	5948	6789
467	5956	6771
468	5966	6755
469	5972	6734
470	5979	6715
471	5985	6695
472	5991	6675
473	5997	6655
474	6007	6639
475	6015	6621
476	6022	6603
477	6030	6585
478	6036	6565
479	6045	6549
480	6051	6529
481	6060	6513
482	6069	6496
483	6076	6478
484	6082	6458
485	6092	6443
486	6100	6425
487	6117	6418
488	6128	6404
489	6135	6385
490	6143	6369
491	6192	6394
492	6212	6389
493	6241	6392
494	6261	6387
495	6285	6386
496	6308	6385
497	6325	6376
498	6362	6388
499	6383	6383
500	6395	6370
501	6406	6355
502	6424	6347
503	6431	6329
504	6439	6312
505	6447	6294
506	6455	6277
507	6463	6259
508	6473	6244
509	6488	6233
510	6504	6224
511	6523	6217
512	6544	6212
513	6578	6219
514	6590	6206
515	6599	6190
516	6610	6175
517	6656	6193
518	6688	6198
519	6702	6186
520	6711	6170
521	6741	6173
522	6767	6172
523	6787	6165
524	6797	6150
525	6807	6134
526	6835	6134
527	6868	6140
528	6885	6130
529	6905	6123
530	6922	6114
531	6938	6104
532	6957	6095
533	6988	6098
534	7016	6098
535	7035	6090
536	7054	6082
537	7071	6072
538	7090	6064
539	7117	6063
540	7150	6066
541	7192	6078
542	7213	6070
543	7244	6072
544	7274	6073
545	7305	6074
546	7332	6072
547	7360	6071
548	7376	6060
549	7387	6044
550	7397	6028
551	7422	6023
552	7442	6015
553	7463	6008
554	7485	6002
555	7504	5993
556	7521	5982
557	7540	5973
558	7560	5964
559	7572	5949
560	7589	5938
561	7604	5926
562	7621	5915
563	7646	5911
564	7661	5898
565	7672	5883
566	7694	5876
567	7704	5859
568	7713	5842
569	7722	5825
570	7733	5810
571	7764	5809
572	7792	5806
573	7810	5796
574	7836	5792
575	7858	5784
576	7884	5779
577	7900	5768
578	7910	5751
579	7938	5748
580	7966	5745
581	7987	5736
582	8003	5724
583	8024	5715
584	8043	5706
585	8067	5699
586	8100	5699
587	8135	5700
588	8163	5696
589	8179	5683
590	8191	5668
591	8206	5655
592	8242	5657
593	8271	5653
594	8285	5639
595	8303	5628
596	8322	5618
597	8342	5608
598	8366	5600
599	8373	5582
600	8385	5567
601	8395	5550
602	8401	5531
603	8408	5512
604	8416	5495
605	8432	5482
606	8446	5468
607	8467	5459
608	8484	5447
609	8503	5436
610	8521	5425
611	8534	5410
612	8543	5393
613	8549	5374
614	8564	5361
615	8576	5346
616	8582	5327
617	8593	5312
618	8600	5293
619	8607	5275
620	8614	5257
621	8623	5240
622	8634	5224
623	8646	5210
624	8652	5191
625	8664	5176
626	8671	5158
627	8677	5140
628	8683	5122
629	8694	5106
630	8703	5089
631	8714	5074
632	8733	5063
633	8763	5059
634	8781	5047
635	8802	5037
636	8811	5021
637	8821	5005
