iter	Logloss
0	0.6807496628
1	0.6675881339
2	0.6532265164
3	0.642511903
4	0.6300001608
5	0.6190496196
6	0.6062969416
7	0.5938563298
8	0.5848147836
9	0.57293844
10	0.5618081631
11	0.5516962563
12	0.5410007363
13	0.5328340795
14	0.522326897
15	0.5128499038
16	0.5029746539
17	0.4928367128
18	0.4851424204
19	0.4788611235
20	0.4706138123
21	0.4643443886
22	0.4560622137
23	0.4484289547
24	0.4401046081
25	0.4323477238
26	0.4250175035
27	0.4178479955
28	0.4105751561
29	0.4039303502
30	0.39768877
31	0.3922505335
32	0.3861639711
33	0.3802818394
34	0.3750146799
35	0.3699846897
36	0.3645807458
37	0.3594241186
38	0.3534749584
39	0.3490190978
40	0.343624856
41	0.3376440831
42	0.3327955774
43	0.3283986943
44	0.3247481988
45	0.3205918506
46	0.3170502504
47	0.3128989192
48	0.3092317507
49	0.3059622748
50	0.3021901353
51	0.2986396128
52	0.2947734077
53	0.2912188258
54	0.2885540683
55	0.2851337296
56	0.282328851
57	0.2786715226
58	0.2750028293
59	0.2720462932
60	0.2688963517
61	0.2655713514
62	0.2622375958
63	0.2588524528
64	0.2559470405
65	0.2535316982
66	0.2510952588
67	0.2484389105
68	0.2456580007
69	0.2427008479
70	0.2406839316
71	0.2381208359
72	0.2357691769
73	0.2333768348
74	0.231345727
75	0.2291267279
76	0.2269649913
77	0.2244899997
78	0.2228028928
79	0.2205382441
80	0.2181445622
81	0.2161819075
82	0.2145647342
83	0.2121544615
84	0.2104392192
85	0.2082883807
86	0.2064339863
87	0.2045110503
88	0.2026105436
89	0.2011289798
90	0.1991905494
91	0.1980836521
92	0.1964817982
93	0.1951462124
94	0.1938257067
95	0.1923936019
96	0.1908177009
97	0.1894222763
98	0.1879696544
99	0.1863079928
100	0.1849899891
101	0.1837138664
102	0.1819917538
103	0.1805015901
104	0.1787250251
105	0.1772094714
106	0.1757414301
107	0.1746046025
108	0.1732321502
109	0.1723660239
110	0.1712186658
111	0.1699943718
112	0.1684003559
113	0.1674184349
